City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Ellensburg,US,2022-08-10 20:01:39,46.9965,-120.5479,92.46,36,0,7.0
67,Kavaratti,IN,2022-08-10 20:01:40,10.5669,72.642,81.52,82,86,23.53
68,Havre-Saint-Pierre,CA,2022-08-10 20:01:40,50.2334,-63.5986,63.25,74,6,10.07
69,Airai,TL,2022-08-10 20:01:41,-8.9266,125.4092,56.71,61,71,2.48
70,Kapaa,US,2022-08-10 20:01:41,22.0752,-159.319,81.48,78,46,4.0
71,Kruisfontein,ZA,2022-08-10 20:01:42,-34.0033,24.7314,52.88,88,99,4.68
72,Saint-Pierre,RE,2022-08-10 19:57:47,-21.3393,55.4781,68.92,70,0,20.71
73,Richards Bay,ZA,2022-08-10 20:01:43,-28.783,32.0377,65.68,89,2,3.27
74,Ola,RU,2022-08-10 20:01:44,59.5833,151.2833,55.44,88,100,5.12
75,Lavrentiya,RU,2022-08-10 20:01:45,65.5833,-171.0,50.65,71,100,7.63
76,Morondava,MG,2022-08-10 20:01:46,-20.2833,44.2833,71.2,58,0,11.5
77,Urumqi,CN,2022-08-10 19:58:02,43.801,87.6005,70.75,60,0,6.71
78,Dikson,RU,2022-08-10 20:01:47,73.5069,80.5464,42.35,91,99,8.34
79,Bandipur,NP,2022-08-10 20:01:48,27.9333,84.4167,67.17,98,100,4.76
80,Biella,IT,2022-08-10 20:01:49,45.5871,8.0859,71.55,85,79,7.74
81,Adrar,MR,2022-08-10 20:01:49,20.5022,-10.0711,101.59,12,16,9.44
82,Jamestown,US,2022-08-10 19:57:19,42.097,-79.2353,79.02,48,4,5.01
83,Te Anau,NZ,2022-08-10 20:01:50,-45.4167,167.7167,31.42,95,32,2.98
84,Barrow,US,2022-08-10 20:01:51,71.2906,-156.7887,46.42,76,100,14.97
85,Bilisht,AL,2022-08-10 20:01:51,40.6275,20.99,67.17,58,99,3.11
86,Hasilpur,PK,2022-08-10 20:01:52,29.7122,72.5553,94.46,50,32,7.38
87,Husavik,IS,2022-08-10 20:01:54,66.0449,-17.3389,45.14,87,95,10.96
88,Jinxi,CN,2022-08-10 20:01:54,30.4323,116.2922,81.72,69,98,2.64
